id,name,email,gender,grades
1,Velvet O'Corrane,vocorrane0@dedecms.com,Female,1.6
2,Maryanne Zannuto,mzannuto1@mayoclinic.com,Female,4.8
3,Leighton Estable,lestable2@businesswire.com,Male,3.5
4,Carlo Scott,cscott3@theguardian.com,Male,8.7
5,Adamo Skerritt,askerritt4@blogtalkradio.com,Male,4.1
6,Page Creenan,pcreenan5@imdb.com,Male,3.8
7,Calli Newns,cnewns6@virginia.edu,Female,8.5
8,Delcina Kelf,dkelf7@nytimes.com,Female,9.9
9,Nathanael Strudwick,nstrudwick8@usa.gov,Male,5.2
10,Randell Bevir,rbevir9@netscape.com,Male,8.4
11,Devondra Simnor,dsimnora@engadget.com,Female,5.5
12,Wini Honig,whonigb@flavors.me,Female,3.0
13,Chelsea Statton,cstattonc@reference.com,Female,1.2
14,Allyson Aleksandrov,aaleksandrovd@wufoo.com,Female,7.7
15,Binky Riddick,briddicke@myspace.com,Male,3.5
16,Merridie Orvis,morvisf@miibeian.gov.cn,Female,3.2
17,Pembroke Greeson,pgreesong@opensource.org,Male,1.8
18,Marvin Justham,mjusthamh@geocities.jp,Male,1.5
19,Linet Braycotton,lbraycottoni@list-manage.com,Agender,3.4
20,Mandie Philbrick,mphilbrickj@uiuc.edu,Female,7.7
21,Craig Chrismas,cchrismask@timesonline.co.uk,Male,6.8
22,Selene Gillani,sgillanil@sohu.com,Female,3.6
23,George Dumbleton,gdumbletonm@360.cn,Female,7.0
24,Antony Clegg,acleggn@delicious.com,Male,7.7
25,Alica Roblett,arobletto@imageshack.us,Female,4.5
26,Iorgo Oloman,iolomanp@auda.org.au,Male,8.2
27,Perkin Ellsworthe,pellswortheq@salon.com,Male,9.2
28,Ferdie Foran,fforanr@ovh.net,Male,9.1
29,Cynthy McWhan,cmcwhans@tripadvisor.com,Female,2.0
30,Kain Ivanichev,kivanichevt@so-net.ne.jp,Male,9.0
31,Tynan Pennicard,tpennicardu@cargocollective.com,Male,1.3
32,Michell Farraway,mfarrawayv@marketwatch.com,Female,7.7
33,Isak Botger,ibotgerw@trellian.com,Non-binary,8.8
34,Reggi Bummfrey,rbummfreyx@ow.ly,Female,1.9
35,Alvy Lantuff,alantuffy@blogger.com,Male,8.0
36,Vincents Wooff,vwooffz@disqus.com,Male,2.3
37,Martyn Dumphrey,mdumphrey10@hugedomains.com,Male,3.1
38,Rick Paradis,rparadis11@bloomberg.com,Male,7.6
39,Brewster Jugging,bjugging12@posterous.com,Male,9.7
40,Toinette Regenhardt,tregenhardt13@odnoklassniki.ru,Female,1.8
41,Shayla Carberry,scarberry14@mac.com,Female,3.3
42,Lorant Newcom,lnewcom15@theatlantic.com,Male,7.4
43,Maddie Foulis,mfoulis16@pcworld.com,Male,3.1
44,Dill Howcroft,dhowcroft17@biblegateway.com,Male,2.5
45,Lenci Macbane,lmacbane18@dot.gov,Male,4.4
46,Gawen Burdass,gburdass19@independent.co.uk,Male,7.0
47,Robinett Okell,rokell1a@upenn.edu,Female,3.7
48,Swen Rosellini,srosellini1b@soup.io,Male,7.3
49,Rodolph Benjamin,rbenjamin1c@t-online.de,Male,9.1
